slot,ix_name,ix_args,error
24,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 16058049320, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'max_ts': None, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'auction_start_price': None, 'auction_end_price': None}}",
25,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 34179 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
27,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 34184 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
28,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 34227 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
28,add_liquidity,"{'n_shares': 60037572671, 'market_index': 0}",
29,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 34227 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
30,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 34172 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
30,settle_lp,{'market_index': 0},
31,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 34172 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
34,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 34173 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
34,remove_liquidity,"{'shares_to_burn': 60037500000, 'market_index': 0}",
35,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 34173 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
41,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 7613400000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV consumed 33874 of 200000 compute units', 'Program BJG3o4CURrokB7huNyiHptYepAtHXj4YfefJiPgzUULV failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
